epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,4372.26,1.28684,0.85502,0.9658,0.5544,0.49909,0.48847,0.28324,1.60617,1.64545,1.41845,0.000118687,0.000118687,0.000118687
159,4413.91,1.31855,0.87457,0.97363,0.58493,0.46859,0.48442,0.28021,1.60673,1.66033,1.43405,0.000113873,0.000113873,0.000113873
160,4455.18,1.30627,0.87356,0.97563,0.5746,0.47976,0.48595,0.27996,1.61784,1.6688,1.43871,0.000109156,0.000109156,0.000109156
161,4496.79,1.32372,0.87804,0.97078,0.6023,0.45289,0.48361,0.27234,1.6412,1.68011,1.46026,0.000104537,0.000104537,0.000104537
162,4538.05,1.31293,0.87231,0.96815,0.60115,0.48201,0.49106,0.28099,1.60188,1.65074,1.42574,0.000100016,0.000100016,0.000100016
163,4579.85,1.28884,0.85075,0.96654,0.62719,0.46803,0.49414,0.28433,1.57263,1.63167,1.38631,9.55951e-05,9.55951e-05,9.55951e-05
164,4621.58,1.29455,0.85721,0.9709,0.57736,0.48944,0.49964,0.28453,1.61508,1.65041,1.43573,9.12754e-05,9.12754e-05,9.12754e-05
165,4663.91,1.29186,0.84222,0.95959,0.55572,0.51457,0.49936,0.2842,1.61886,1.64968,1.4457,8.70577e-05,8.70577e-05,8.70577e-05
166,4705.59,1.31227,0.87446,0.973,0.55588,0.49635,0.49105,0.28166,1.61737,1.66057,1.44069,8.29431e-05,8.29431e-05,8.29431e-05
167,4746.71,1.28458,0.85159,0.95957,0.58319,0.48,0.49646,0.28318,1.60794,1.63996,1.42157,7.89327e-05,7.89327e-05,7.89327e-05
168,4788.04,1.3179,0.86662,0.96903,0.56078,0.49046,0.50017,0.28672,1.6043,1.62675,1.42914,7.50274e-05,7.50274e-05,7.50274e-05
169,4830.99,1.31452,0.87994,0.97465,0.59647,0.4588,0.49398,0.28274,1.60526,1.65399,1.41779,7.12282e-05,7.12282e-05,7.12282e-05
170,4874.18,1.30442,0.87839,0.97279,0.54691,0.48342,0.48722,0.28109,1.5988,1.65435,1.41443,6.7536e-05,6.7536e-05,6.7536e-05
